Question,Option A,Option B,Option C,Option D,Correct Answer
You support a Node.js application running on Google Kubernetes Engine (GKE) in production. The application makes several HTTP requests to dependent applications. You want to anticipate which dependent applications might cause performance issues. What should you do?,Instrument all applications with Stackdriver Profiler.,Instrument all applications with Stackdriver Trace and review inter-service HTTP requests.,Use Stackdriver Debugger to review the execution of logic within each application to instrument all applications.,Modify the Node.js application to log HTTP request and response times to dependent applications. Use Stackdriver Logging to find dependent applications that are performing poorly.,
Topic 1,Share the workspace Project ID with the SRE team. Assign the SRE team the Monitoring Viewer IAM role in the workspace project.,Share the workspace Project ID with the SRE team. Assign the SRE team the Dashboard Viewer IAM role in the workspace project.,Click ג€Share chart by URLג€ and provide the URL to the SRE team. Assign the SRE team the Monitoring Viewer IAM role in the workspace project.,Click ג€Share chart by URLג€ and provide the URL to the SRE team. Assign the SRE team the Dashboard Viewer IAM role in the workspace project.,
Topic 1,"Develop a postmortem that includes the root causes, resolution, lessons learned, and a prioritized list of action items. Share it with the manager only.","Develop a postmortem that includes the root causes, resolution, lessons learned, and a prioritized list of action items. Share it on the engineering organization's document portal.","Develop a postmortem that includes the root causes, resolution, lessons learned, the list of people responsible, and a list of action items for each person. Share it with the manager only.","Develop a postmortem that includes the root causes, resolution, lessons learned, the list of people responsible, and a list of action items for each person. Share it on the engineering organization's document portal.",
"You have a set of applications running on a Google Kubernetes Engine (GKE) cluster, and you are using Stackdriver Kubernetes Engine Monitoring. You are bringing a new containerized application required by your company into production. This application is written by a third party and cannot be modified or reconfigured. The application writes its log information to /var/log/app_messages.log, and you want to send these log entries to Stackdriver Logging. What should you do?",Use the default Stackdriver Kubernetes Engine Monitoring agent configuration.,Deploy a Fluentd daemonset to GKE. Then create a customized input and output configuration to tail the log file in the application's pods and write to Stackdriver Logging.,Install Kubernetes on Google Compute Engine (GCE) and redeploy your applications. Then customize the built-in Stackdriver Logging configuration to tail the log file in the application's pods and write to Stackdriver Logging.,Write a script to tail the log file within the pod and write entries to standard output. Run the script as a sidecar container with the application's pod. Configure a shared volume between the containers to allow the script to have read access to /var/log in the application container.,
Topic 1,Look for the agent's test log entry in the Logs Viewer.,Install the most recent version of the Stackdriver agent.,Verify the VM service account access scope includes the monitoring.write scope.,SSH to the VM and execute the following commands on your VM: ps ax | grep fluentd.,
Topic 1,Add logic to each Cloud Build step to HTTP POST the build information to a webhook.,Add a new step at the end of the pipeline in Cloud Build to HTTP POST the build information to a webhook.,Use Stackdriver Logging to create a logs-based metric from the Cloud Build logs. Create an Alert with a Webhook notification type.,Create a Cloud Pub/Sub push subscription to the Cloud Build cloud-builds PubSub topic to HTTP POST the build information to a webhook.,
Topic 1,Compare the canary with a new deployment of the current production version.,Compare the canary with a new deployment of the previous production version.,Compare the canary with the existing deployment of the current production version.,Compare the canary with the average performance of a sliding window of previous production versions.,
Topic 1,"Bucketize the request latencies into ranges, and then compute the percentile at 100 ms.","Bucketize the request latencies into ranges, and then compute the median and 90th percentiles.","Count the number of home page requests that load in under 100 ms, and then divide by the total number of home page requests.","Count the number of home page request that load in under 100 ms, and then divide by the total number of all web application requests.",
Topic 1,"Before merging new code, require 2 different peers to review the code changes.",Adopt the blue/green deployment strategy when releasing new code via a CD server.,Integrate a code linting tool to validate coding standards before any code is accepted into the repository.,Require developers to run automated integration tests on their local development environments before release.,
Topic 1,ג€¢ Deploy the Stackdriver logging agent to the application servers. ג€¢ Give the developers the IAM Logs Viewer role to access Stackdriver and view logs.,ג€¢ Deploy the Stackdriver logging agent to the application servers. ג€¢ Give the developers the IAM Logs Private Logs Viewer role to access Stackdriver and view logs.,ג€¢ Deploy the Stackdriver monitoring agent to the application servers. ג€¢ Give the developers the IAM Monitoring Viewer role to access Stackdriver and view metrics.,"ג€¢ Install the gsutil command line tool on your application servers. ג€¢ Write a script using gsutil to upload your application log to a Cloud Storage bucket, and then schedule it to run via cron every 5 minutes. ג€¢ Give the developers the IAM Object Viewer access to view the logs in the specified bucket.",
